id_fabricante;cnpj_fabricante;fabricante
Fab00001;73856593000166;PRATI, DONADUZZI E CIA LTDA
Fab00002;61150447000131;LABORATÓRIOS BALDACCI S/A
Fab00003;10877926000113;LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL
Fab00004;02685377000157;SANOFI-AVENTIS FARMACEUTICA LTDA
Fab00005;61190096000192;EUROFARMA LABORATORIOS LTDA
Fab00006;33009945000123;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A
Fab00007;60659463002992;ACHE LABORATORIOS FARMACEUTICOS SA
Fab00008;05254971000181;ZYDUS NIKKHO FARMACEUTICA LTDA
Fab00009;43426626000177;ALLERGAN PRODUTOS FARMACEUTICOS LTDA.
Fab00010;56998701000116;ABBOTT LABORATORIOS DO BRASIL LTDA
Fab00011;57507378000365;EMS S/A
Fab00012;61286647000116;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA.
Fab00013;00923140000131;EMS SIGMA PHARMA LTDA
Fab00014;60318797000100;ASTRAZENECA DO BRASIL LTDA.
Fab00015;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A
Fab00016;45992062000165;GERMED FARMACÊUTICA LTDA
Fab00017;61082426000207;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
Fab00018;61230314000175;LIBBS FARMACEUTICA LTDA
Fab00019;10588595000797;Medley Farmacêutica Ltda.
Fab00020;49475833000106;BIOLAB SANUS FARMACÊUTICA LTDA
Fab00021;33247743000110;GLAXOSMITHKLINE BRASIL LTDA
Fab00022;60397775000174;TAKEDA PHARMA LTDA.
Fab00023;02501297000285;PHARLAB INDUSTRIA FARMACEUTICA S.A
Fab00024;73663650000190;RANBAXY FARMACEUTICA LTDA
Fab00025;03485572000104;GEOLAB INDUSTRIA FARMACÊUTICA LTDA
Fab00026;17174657000178;HYPOFARMA INSTITUTO DE HYPODERMIA E FARMACIA LTDA
Fab00027;56994502000130;NOVARTIS BIOCIENCIA S/A
Fab00028;46070868000169;LABORATORIOS PFIZER LTDA
Fab00029;10588595001092;SANOFI MEDLEY FARMACEUTICA LTDA
Fab00030;43312503000105;SUPERA FARMA LABORATORIOS S.A.
Fab00031;53162095000106;BIOSINTÉTICA FARMACEUTICA LTDA
Fab00032;03271206000144;HTM INDUSTRIA DE EQUIPAMENTOS ELETRO-ELETRONICOS LTDA
Fab00033;51780468000187;JANSSEN-CILAG FARMACEUTICA LTDA
Fab00034;61363032000146;CHIESI FARMACÊUTICA LTDA
Fab00035;60499639000195;ABBOTT PRODUTOS PARA SAUDE LTDA.
Fab00036;19570720000110;HIPOLABOR FARMACEUTICA LTDA
Fab00037;18459628000115;BAYER S.A
Fab00038;05343029000270;MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LT
Fab00039;23643315000152;DANONE LTDA
Fab00040;00133418000177;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS - EIRELI
Fab00041;07768134000104;ASTELLAS FARMA BRASIL IMPORTACAO E DISTRIBUICAO DE MEDICAMENTOS LT
Fab00042;84684620000187;LABORATORIO CATARINENSE S A
Fab00043;17172874000129;PREMIUM COMERCIAL EIRELI
Fab00044;08055634000153;IMEC-INDUSTRIA DE MEDICAMENTOS CUSTODIA LTDA - EPP
Fab00045;60659463000191;ACHE LABORATORIOS FARMACEUTICOS SA
Fab00046;33408105000133;GREENPHARMA QUIMICA E FARMACEUTICA LTDA
Fab00047;18324343000177;BELFAR LIMITADA
Fab00048;17875154000391;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.
