id_fornecedor;cnpj_fornecedor;fornecedor
For00001;06974929000106;NOROESTE MEDICAMENTO LTDA - EPP
For00002;01140868000150;CIRURGICA OLIMPIO - EIRELI - EPP
For00003;61718946000182;DROGARIA DIAMARC LTDA
For00004;36325157000134;COSTA CARMAGO COM. DE PRODUTOS HOSPITALARES LTDA
For00005;26364969000135;HOSPITALARES - DISTRIBUIDORA DE MEDICAMENTOS E CORRELATOS EIRELI - EPP
For00006;23864942000113;UNIQUE DISTRIBUIDORA DE MEDICAMENTOS EIRELI
For00007;88212113022928;COMERCIO DE MEDICAMENTOS BRAIR LTDA
For00008;20989401000123;ARAUJO & UNTERNAHRER COM. DE PRODUTOS FARMACEUTICOS LTDA - ME
For00009;65817900000171;AGLON COMERCIO E REPRESENTAÇÕES LTDA
For00010;10586940000168;ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA - ME
For00011;18269125000187;BIOHOSP PRODUTOS HOSPITALARES LTDA - EPP
For00012;30323616000164;QUICKBUM E-COMMERCE - EIRELI
For00013;02424344000153;DISTRIBUICAO DE MEDICAMENTOS PAMED LTDA
For00014;67729178000149;COMERCIAL CIRÚRGICA RIOCLARENSE
For00015;18459628000115;BAYER S.A
For00016;05343029000270;MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA
For00017;35997345000146;HOSPIDROGAS COMERCIO DE PRODUTOS HOSPITALARES LTDA
For00018;09580548002257;SEROMA FARMACIAS E PERFUMARIAS LTDA
For00019;07590023000142;HAND LIFE SUPRIMENTOS MEDICOS E FISIOTERAPICOS LTDA - EPP
For00020;33009945000204;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A
For00021;00809672000142;FARMALIBRA COMERCIO DE PRODUTOS HOSPITALARES LTDA - ME
For00022;11089732000116;STOKMED PRODUTOS HOSPITALARES LTDA - EPP
For00023;67729178000491;COMERCIAL CIRURGICA RIOCLARENSE LTDA
For00024;43295831000140;INTERLAB FARMACEUTICA LTDA
For00025;03652030000170;CENTERMEDI - COMERCIO DE PRODUTOS HOSPITARES LTDA.
For00026;03945035000191;ACACIA COMERCIO DE MEDICAMENTOS LTDA
For00027;12889035000102;INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP
For00028;05847630000110;SOMA/SP PRODUTOS HOSPITALARES LTDA
For00029;11034934000160;NDS DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00030;55309074000104;CIRÚRGICA SÃO JOSÉ LTDA
For00031;02520829000140;DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA
For00032;44734671000151;CRISTALIA PRODUTOS QUIMICOS E FARMACEUTICOS LTDA
For00033;08231734000193;FUTURA COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA - EPP
For00034;28123417000160;PARTNER FARMA DISTRIBUIDORA DE MEDICAMENTOS - EIRELI
