id_instituicao;cnpj_instituicao;nome_instituicao;municipio_instituicao;uf
Ins00001;08533932000101;FUNDO MUNICIPAL DE SAUDE - MUNICIPIO DE ALTO PARANA;ALTO PARANA;PR
Ins00002;43976166000150;MUNICIPIO DE AMERICO BRASILIENSE;AMERICO BRASILIENSE;SP
Ins00003;01572597000101;MUNICIPIO DE TRABIJU;TRABIJU;SP
Ins00004;27080605000196;SECRETARIA DE ESTADO DA SAUDE;VITORIA;ES
Ins00005;91987669000174;MUNICIPIO DE MONTE BELO DO SUL;MONTE BELO DO SUL;RS
Ins00006;08673415000138;FUNDO MUNICIPAL DE SAUDE;CHUPINGUAIA;RO
Ins00007;18663401000197;MUNICIPIO DE GUAXUPE;GUAXUPE;MG
Ins00008;14491945000168;FUNDO MUNICIPAL DE SAUDE DE SANTA TERESA;SANTA TERESA;ES
Ins00009;29138377000193;MUNICIPIO DE TRES RIOS;TRES RIOS;RJ
Ins00010;46374500003614;SECRETARIA DE ESTADO DA SAUDE;BAURU;SP
Ins00011;09468040000137;FUNDO MUNICIPAL DE SAUDE DE PIRAQUARA;PIRAQUARA;PR
Ins00012;46482857000196;MUNICIPIO DE UBATUBA;UBATUBA;SP
Ins00013;10572048000128;SECRETARIA DE SAUDE;RECIFE;PE
Ins00014;13861101000107;FUNDO MUNICIPAL DE SAUDE;BERTOLINIA;PI
Ins00015;10759784000190;FUNDO MUNICIPAL DE SAUDE DE ALIANCA;ALIANCA;PE
Ins00016;11966012000191;FUNDO MUNICIPAL DE SAUDE DE MONCOES;MONCOES;SP
Ins00017;06016618000126;FUNDO MUNICIPAL DE SAUDE DE MIRANTE DA SERRA;MIRANTE DA SERRA;RO
Ins00018;11718406000120;FUNDO MUNICIPAL DE SAUDE;ARACAJU;SE
Ins00019;00204125000133;SECRETARIA MUNICIPAL DE SAUDE;MACEIO;AL
Ins00020;45270188000126;MUNICIPIO DE MATAO;MATAO;SP
Ins00021;76331941000170;MUNICIPIO DE CORNELIO PROCOPIO;CORNELIO PROCOPIO;PR
Ins00022;46373445000118;MUNICIPIO DE TAMBAU;TAMBAU;SP
Ins00023;48468284000171;MUNICIPIO DE GUARARAPES;GUARARAPES;SP
Ins00024;45749819000194;MUNICIPIO DE SANTA RITA DO PASSA QUATRO;SANTA RITA DO PASSA QUATRO;SP
Ins00025;04885197000144;MUNICIPIO DE FORTALEZA - SECRETARIA MUNICIPAL DE SAUDE - SMS;FORTALEZA;CE
Ins00026;46634507000106;MUNICIPIO DE SALTO;SALTO;SP
Ins00027;07954571000104;SECRETARIA DA SAUDE DO ESTADO DO CEARA;FORTALEZA;CE
Ins00028;44880060000111;MUNICIPIO DE DRACENA;DRACENA;SP
Ins00029;94707486000146;MUNICIPIO DE LINDOLFO COLLOR;LINDOLFO COLLOR;RS
Ins00030;76206606000140;MUNICIPIO DE FOZ DO IGUACU;FOZ DO IGUACU;PR
Ins00031;45279635000108;MUNICIPIO DE ATIBAIA;ATIBAIA;SP
Ins00032;53415717000160;MUNICIPIO DE OURINHOS;OURINHOS;SP
Ins00033;09055340000275;ASSOCIACAO DE SAUDE, ESPORTE, LAZER E CULTURA - ASELC;REDENCAO;PA
Ins00034;19361548000195;FUNDO MUNICIPAL DE SAUDE DE MINISTRO ANDREAZZA;MINISTRO ANDREAZZA;RO
Ins00035;76206465000165;MUNICIPIO DE MATELANDIA;MATELANDIA;PR
Ins00036;76206457000119;MUNICIPIO DE SANTA HELENA;SANTA HELENA;PR
Ins00037;08968508000190;FUNDO MUNICIPAL DE SAUDE DE PIMENTA BUENO;PIMENTA BUENO;RO
