id_produto;codigo_br;descricao_catmat;generico;unidade_fornecimento;status_utilizacao
Pro00001;243488;BOLSA VENTILAÇÃO PULMONAR, MATERIAL:BORRACHA, CAPACIDADE:1 L, APLICAÇÃO:VENTILAÇÃO / REINALAÇÃO;NÃO;UNIDADE            ;Utilizado
Pro00002;267565;CARVEDILOL, DOSAGEM:6,25 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00003;267567;CARVEDILOL, DOSAGEM:25 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00004;267663;FUROSEMIDA, DOSAGEM:40 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00005;268859;LEVOTIROXINA SÓDICA, DOSAGEM:75 MCG;NÃO;COMPRIMIDO         ;Utilizado
Pro00006;269962;DOMPERIDONA, DOSAGEM:10 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00007;270120;CLONAZEPAM, DOSAGEM:2,5 MG/ML, APRESENTAÇÃO:SOLUÇÃO ORAL- GOTAS;SIM;FRASCO 20,00 ML    ;Utilizado
Pro00008;270472;HEXAMIDINA, COMPOSIçÃO:ASSOCIADA COM TETRACAÍNA CLORIDRATO, DOSAGEM:1MG + 0,5MG/ML, APRESENTAÇÃO:COLUTÓRIO, FRASCO NEBULIZADO;SIM;FRASCO 50,00 ML    ;Utilizado
Pro00009;270907;PARACETAMOL, APRESENTAÇÃO:ASSOCIADO COM CODEÍNA, DOSAGEM:500MG + 30MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00010;271356;ALPRAZOLAM, DOSAGEM:1 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00011;271790;FENILEFRINA CLORIDRATO, CONCENTRAÇÃO:10%, INDICAÇÃO:SOLUÇÃO OFTÁLMICA;NÃO;FRASCO 5,00 ML     ;Utilizado
Pro00012;272412;PROPAFENONA CLORIDRATO, DOSAGEM:300 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00013;272589;DIVALPROATO DE SÓDIO, DOSAGEM:500 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00014;272785;DONEPEZILA, DOSAGEM:5 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00015;272903;CITALOPRAM, DOSAGEM:20 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00016;277513;FLUOXETINA, DOSAGEM:20 MG/ML, APRESENTAÇÃO:SOLUÇÃO ORAL, GOTAS;NÃO;FRASCO 20,00 ML    ;Utilizado
Pro00017;278316;ZOLPIDEM, DOSAGEM:10 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00018;280873;CANDESARTANA, APRESENTAÇÃO:ASSOCIADO COM HIDROCLOROTIAZIDA, CONCENTRAÇÃO:16MG + 12,5MG;SIM;COMPRIMIDO         ;Utilizado
Pro00019;291770;ESCITALOPRAM OXALATO, DOSAGEM:10 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00020;297787;CETIRIZINA DICLORIDRATO, DOSAGEM:1 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO ORAL;SIM;FRASCO 120,00 ML   ;Utilizado
Pro00021;332755;IBUPROFENO, DOSAGEM:100 MG/ML, FORMA FARMACÊUTICA:SUSPENSÃO ORAL;NÃO;FRASCO 20,00 ML    ;Utilizado
Pro00022;333569;TACROLIMO, DOSAGEM:1 MG/G, FORMA FARMACÊUTICA:POMADA;NÃO;BISNAGA 10,00 G    ;Utilizado
Pro00023;342501;FENOFIBRATO, CONCENTRAÇÃO:250 MG, FORMA FARMACÊUTICA:LIBERAÇÃO RETARDADA;NÃO;CÁPSULA            ;Utilizado
Pro00024;352319;DICLOFENACO, COMPOSIÇÃO:SAL RESINATO, CONCENTRAÇÃO:15 MG/ML, FORMA FARMACÊUTICA:SUSPENSÃO ORAL - GOTAS;NÃO;FRASCO 20,00 ML    ;Utilizado
Pro00025;409591;PRAMIPEXOL, COMPOSIÇÃO:SAL DICLORIDRATO, CONCENTRAÇÃO:0,375 MG, FORMA FARMACÊUTICA:LIBERAÇÃO PROLONGADA;NÃO;COMPRIMIDO         ;Utilizado
Pro00026;410023;DIPIRONA SÓDICA, CONCENTRAÇÃO:1 G;SIM;COMPRIMIDO         ;Utilizado
Pro00027;424170;LEVANLODIPINO BESILATO, CONCENTRAÇÃO:2,5 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00028;437160;CLORETO DE SÓDIO, CONCENTRAÇAO:0,9 %, FORMA FARMACEUTICA:SOLUÇÃO NASAL;NÃO;FRASCO 50,00 ML    ;Utilizado
Pro00029;448563;FLUTICASONA, COMPOSIÇÃO:FUORATO, CONCENTRAÇÃO:27,5 MCG/DOSE, FORMA FARMACÊUTICA:SPRAY NASAL;NÃO;EMBALAGEM 120,00 DO;Utilizado
Pro00030;448860;MESALAZINA, CONCENTRAÇÃO:1200 MG, FORMA FARMACÊUTICA:LIBERAÇÃO PROLONGADA;NÃO;COMPRIMIDO         ;Utilizado
Pro00031;450073;DEXLANSOPRAZOL, CONCENTRAÇÃO:60 MG, CARACTERÍSTICAS ADICIONAIS:LIBERAÇÃO PROLONGADA;NÃO;CÁPSULA            ;Utilizado
Pro00032;461415;DEXLANSOPRAZOL, CONCENTRAÇÃO:30 MG, CARACTERÍSTICAS ADICIONAIS:LIBERAÇÃO PROLONGADA;NÃO;CÁPSULA            ;Utilizado
Pro00033;267081;FENOFIBRATO, DOSAGEM:200 MG;NÃO;CÁPSULA            ;Utilizado
Pro00034;267746;SINVASTATINA, DOSAGEM:10 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00035;267747;SINVASTATINA, DOSAGEM:20 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00036;268149;RISPERIDONA, DOSAGEM:2 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00037;268431;CIPROFLOXACINO CLORIDRATO, DOSAGEM:3 MG/ML, INDICAÇÃO:SOLUÇÃO OFTÁLMICA;NÃO;FRASCO 5,00 ML     ;Utilizado
Pro00038;268446;DOBUTAMINA CLORIDRATO, DOSAGEM:12,5 MG/ML, INDICAÇÃO:INJETÁVEL;SIM;AMPOLA 20,00 ML    ;Utilizado
Pro00039;270119;CLONAZEPAM, DOSAGEM:2 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00040;270834;ESTRADIOL, DOSAGEM:1MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00041;271848;BIMATOPROSTA, DOSAGEM:0,3 MG/ML, APRESENTAÇÃO:SOLUÇÃO OFTÁLMICA;SIM;FRASCO 5,00 ML     ;Utilizado
Pro00042;272320;METILFENIDATO CLORIDRATO, DOSAGEM:10 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00043;272380;VENLAFAXINA, COMPOSIÇÃO:SAL CLORIDRATO, CONCENTRAÇÃO:150 MG, APRESENTAÇÃO:LIBERAÇÃO CONTROLADA;NÃO;CÁPSULA            ;Utilizado
Pro00044;272817;MIDAZOLAM, DOSAGEM:15 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00045;272832;QUETIAPINA, DOSAGEM:100 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00046;273120;GLIMEPIRIDA, DOSAGEM:1 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00047;273255;OXCARBAZEPINA, DOSAGEM:60 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL;NÃO;FRASCO 100,00 ML   ;Utilizado
Pro00048;274506;CANDESARTANA, DOSAGEM:8 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00049;274647;SOTALOL CLORIDRATO, DOSAGEM:160 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00050;296076;CANDESARTANA, CONCENTRAÇÃO:16MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00051;303703;MATERIAL FISIOTERAPIA, TIPO:APARELHO LASER, APLICAÇÃO:LASERTERAPIA E LASER-ACUPUNTURA, CARACTERÍSTICAS ADICIONAIS:DIODO VISÍV;NÃO;UNIDADE            ;Utilizado
Pro00052;308226;METILFENIDATO CLORIDRATO, DOSAGEM:36 MG, FORMA FARMACÊUTICA:LIBERAÇÃO CONTROLADA;NÃO;COMPRIMIDO         ;Utilizado
Pro00053;309094;FORMOTEROL FUMARATO, COMPOSIÇÃO:ASSOCIADO COM BUDESONIDA, CONCENTRAÇÃO:12 MCG + 400MCG/DOSE, FORMA FARMACÊUTICA:PÓ INALANTE,;NÃO;FRASCO 60,00 DOSES ;Utilizado
Pro00054;324587;MANIDIPINO, CONCENTRAÇÃO:20 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00055;325456;MANIDIPINO, CONCENTRAÇÃO:10 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00056;328529;VALPROATO DE SÓDIO, CONCENTRAÇÃO:250 MG;NÃO;CÁPSULA            ;Utilizado
Pro00057;328530;VALPROATO DE SÓDIO, CONCENTRAÇÃO:500 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00058;328532;VALPROATO DE SÓDIO, CONCENTRAÇÃO:50 MG/ML, FORMA FARMACÊUTICA:XAROPE;SIM;FRASCO 100,00 ML   ;Utilizado
Pro00059;330335;SORAFENIBE TOSILATO, CONCENTRAÇÃO:200 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00060;339565;REAGENTE PARA DIAGNÓSTICO CLÍNICO 5, TIPO DE ANÁLISE:QUANTITATIVO DE GLICOSE, CARACTERÍSTICAS ADICIONAIS:CAPILAR, APRESENTAÇÃ;NÃO;UNIDADE            ;Utilizado
Pro00061;341851;FLUVOXAMINA MALEATO, CONCENTRAÇÃO:100 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00062;342134;HIDROCORTISONA, COMPOSIÇÃO:SAL SUCCINATO SÓDICO, CONCENTRAÇÃO:500 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL;NÃO;FRASCO-AMPOLA      ;Utilizado
Pro00063;345241;HIDROCORTISONA, COMPOSIÇÃO:SAL ACETATO, CONCENTRAÇÃO:10 MG/G, FORMA FARMACÊUTICA:POMADA;NÃO;BISNAGA 30,00 G    ;Utilizado
Pro00064;380419;BIMATOPROSTA, COMPOSIÇÃO:ASSOCIADA COM TIMOLOL MALEATO, CONCENTRAÇÃO:0,3 MG + 5 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO OFTÁLMICA;NÃO;FRASCO 3,00 ML     ;Utilizado
Pro00065;401321;AMISSULPRIDA, CONCENTRAÇÃO:200 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00066;404944;DIETA ENTERAL, ASPECTO FÍSICO:PÓ, USO:ENTERAL OU ORAL, CARACTERÍSTICAS:NORMOCALÓRICA,NORMOPROTEÍCA, FONTE DE PROTEÍNA:CASEINA;NÃO;GRAMA              ;Utilizado
Pro00067;405997;BIMATOPROSTA, CONCENTRAÇÃO:0,1 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO OFTÁLMICA;NÃO;FRASCO 3,00 ML     ;Utilizado
Pro00068;415956;APARELHO ELETROESTIMULADOR NEUROMUSCULAR, COMPONENTES:MÍN. 4 CANAIS, CONTROLES INTENSIDADE INDEPENDENTES, ADICIONAIS:TIMER, T;NÃO;UNIDADE            ;Utilizado
Pro00069;434706;APARELHO ULTRASSONOGRAFIA, MATERIAL GABINETE:AJUSTE DIGITAL, C/ PAINEL DE CONTROLE, PROGRAMÁVEL, FREQUÊNCIA EMISSÃO:1 MHZ, AP;NÃO;UNIDADE            ;Utilizado
Pro00070;439143;MIRABEGRONA, CONCENTRAÇÃO:50 MG, ADICIONAL:LIBERAÇÃO PROLONGADA;NÃO;COMPRIMIDO         ;Utilizado
Pro00071;446105;SAIS PARA REIDRATAÇÃO ORAL, COMPOSIÇÃO:SÓDIO, POTÁSSIO, CLORETO, CITRATO E GLICOSE, CONCENTRAÇÃO:90 MEQ/L + 20 MEQ/L + 80 MEQ;NÃO;ENVELOPE           ;Utilizado
Pro00072;450888;OCRELIZUMABE, CONCENTRAÇÃO:30 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO P/ INFUSÃO;NÃO;FRASCO 10,00 ML    ;Utilizado
Pro00073;460986;BUPROPIONA CLORIDRATO, CONCENTRAÇÃO:150 MG, CARACTERÍSTICAS ADICIONAIS:LIBERAÇÃO PROLONGADA;SIM;COMPRIMIDO         ;Utilizado
Pro00074;230360;MANGUITO, MATERIAL:BORRACHA, APRESENTAÇÃO:BOLSA INFLÁVEL, TAMANHO:ADULTO NORMAL, APLICAÇÃO:APARELHO PRESSÃO;NÃO;UNIDADE            ;Utilizado
Pro00075;233632;PETROLATO, ASPECTO FÍSICO:LÍQUIDO, TIPO:LAXATIVO, USO:ORAL;NÃO;FRASCO 100,00 ML   ;Utilizado
Pro00076;266701;BUDESONIDA, APRESENTAÇÃO:AEROSSOL NASAL, CONCENTRAÇÃO:50MCG/DOSE, CARACTERÍSTICAS ADICIONAIS:FRASCO COM VáLVULA DOSIFICADORA;NÃO;FRASCO 120,00 DOSES;Utilizado
Pro00077;266706;BUDESONIDA, APRESENTAÇÃO:AEROSSOL NASAL, CONCENTRAÇÃO:32MCG/DOSE, CARACTERÍSTICAS ADICIONAIS:FRASCO COM VáLVULA DOSIFICADORA;NÃO;FRASCO 120,00 DOSES;Utilizado
Pro00078;266788;NISTATINA, DOSAGEM:25.000 UI/G, APRESENTAÇÃO:CREME VAGINAL;SIM;BISNAGA 60,00 G    ;Utilizado
Pro00079;266863;METRONIDAZOL, DOSAGEM:40 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL;NÃO;FRASCO 100,00 ML   ;Utilizado
Pro00080;267107;FENITOÍNA SÓDICA, DOSAGEM:50 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 5,00 ML     ;Utilizado
Pro00081;267140;AZITROMICINA, DOSAGEM:500 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00082;267151;CETOCONAZOL, DOSAGEM:200 MG;SIM;COMPRIMIDO         ;Utilizado
